season,player_name,pos,posteam,defteam,game_id,week,game_date,rush_attempt,rush_touchdown,tackled_for_loss,yards_gained,fumble,touchdown,complete_pass,pass_attempt,pass_touchdown,air_yards,yards_after_catch,qb_dropback,qb_hit,qb_scramble,sack,interception,pass_yards,rush_yards,rec_yards,fanPts
1999,A.Ofodile,TE,BAL,JAX,1999_10_BAL_JAX,10,1999-11-14,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.9
1999,A.Ofodile,TE,BAL,KC,1999_07_KC_BAL,7,1999-10-21,0.0,0.0,0.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,1.3
1999,A.Ofodile,TE,BAL,NE,1999_17_BAL_NE,17,2000-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,A.Ofodile,TE,BAL,TEN,1999_05_BAL_TEN,5,1999-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,A.Pierce,TE,BAL,ATL,1999_04_BAL_ATL,4,1999-10-03,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.4
1999,A.Pierce,TE,BAL,BUF,1999_08_BUF_BAL,8,1999-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,A.Pierce,TE,BAL,CIN,1999_11_BAL_CIN,11,1999-11-21,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.4
1999,A.Pierce,TE,BAL,CLE,1999_03_CLE_BAL,3,1999-09-26,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,1.3
1999,A.Pierce,TE,BAL,CLE,1999_09_BAL_CLE,9,1999-11-07,0.0,0.0,0.0,17.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,1.7
1999,A.Pierce,TE,BAL,JAX,1999_10_BAL_JAX,10,1999-11-14,0.0,0.0,0.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,-1.3
1999,A.Pierce,TE,BAL,KC,1999_07_KC_BAL,7,1999-10-21,0.0,0.0,0.0,35.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,3.5
1999,A.Pierce,TE,BAL,PIT,1999_02_PIT_BAL,2,1999-09-19,0.0,0.0,0.0,19.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,1.9
1999,A.Pupunu,TE,LAC,CIN,1999_02_SD_CIN,2,1999-09-19,0.0,0.0,0.0,10.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,-1.0
1999,A.Pupunu,TE,LAC,KC,1999_04_KC_SD,4,1999-10-03,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.6
1999,A.Pupunu,TE,LAC,SEA,1999_06_SEA_SD,6,1999-10-17,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1
1999,B.Chamberlain,TE,DEN,DET,1999_16_DEN_DET,16,1999-12-25,0.0,0.0,0.0,52.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,52.0,5.2
1999,B.Chamberlain,TE,DEN,GB,1999_06_GB_DEN,6,1999-10-17,0.0,0.0,0.0,123.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,123.0,12.3
1999,B.Chamberlain,TE,DEN,JAX,1999_14_DEN_JAX,14,1999-12-13,0.0,0.0,0.0,75.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0,13.5
1999,B.Chamberlain,TE,DEN,KC,1999_02_DEN_KC,2,1999-09-19,0.0,0.0,0.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,1.7
1999,B.Chamberlain,TE,DEN,KC,1999_13_KC_DEN,13,1999-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,B.Chamberlain,TE,DEN,LAC,1999_17_SD_DEN,17,2000-01-02,0.0,0.0,0.0,14.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,1.4
1999,B.Chamberlain,TE,DEN,LV,1999_05_DEN_OAK,5,1999-10-10,0.0,0.0,0.0,40.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,4.0
1999,B.Chamberlain,TE,DEN,LV,1999_11_OAK_DEN,11,1999-11-22,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,1.1
1999,B.Chamberlain,TE,DEN,MIA,1999_01_MIA_DEN,1,1999-09-13,0.0,0.0,0.0,52.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,52.0,5.2
1999,B.Chamberlain,TE,DEN,MIN,1999_08_MIN_DEN,8,1999-10-31,0.0,0.0,0.0,42.0,0.0,1.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,10.2
1999,B.Chamberlain,TE,DEN,NE,1999_07_DEN_NE,7,1999-10-24,0.0,0.0,0.0,46.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,46.0,4.6
1999,B.Chamberlain,TE,DEN,NYJ,1999_04_NYJ_DEN,4,1999-10-03,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,1.3
1999,B.Chamberlain,TE,DEN,SEA,1999_10_DEN_SEA,10,1999-11-14,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.2
1999,B.Chamberlain,TE,DEN,SEA,1999_15_SEA_DEN,15,1999-12-19,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1
1999,B.Coates,TE,NE,ARI,1999_08_NE_ARI,8,1999-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,B.Coates,TE,NE,BAL,1999_17_BAL_NE,17,2000-01-02,0.0,0.0,0.0,35.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,3.5
1999,B.Coates,TE,NE,BUF,1999_12_NE_BUF,12,1999-11-28,0.0,0.0,0.0,14.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,1.4
1999,B.Coates,TE,NE,BUF,1999_16_BUF_NE,16,1999-12-26,0.0,0.0,0.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,2.0
1999,B.Coates,TE,NE,CLE,1999_04_NE_CLE,4,1999-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,B.Coates,TE,NE,DEN,1999_07_DEN_NE,7,1999-10-24,0.0,0.0,0.0,40.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,4.0
1999,B.Coates,TE,NE,IND,1999_02_IND_NE,2,1999-09-19,0.0,0.0,0.0,34.0,0.0,2.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,15.4
